order_id,customer_id,store_id,order_date,payment_method,status
53,1721,12,2026-02-02,M-Pesa,Completed
54,154,10,2025-04-06,M-Pesa,Completed
55,121,6,2023-06-10,Cash,Completed
56,1547,2,2024-11-22,Cash,Refunded
57,802,10,2022-07-22,Card,Completed
58,924,8,2024-05-30,Cash,Refunded
59,2165,3,2026-04-25,Cash,Completed
60,395,10,2024-04-20,Cash,Completed
61,1473,3,2023-02-24,M-Pesa,Cancelled
62,1396,9,2024-06-03,Cash,Refunded
63,2164,12,2023-09-26,M-Pesa,Completed
64,1941,4,2024-10-17,M-Pesa,Completed
65,565,6,2024-08-08,M-Pesa,Completed
66,291,7,2026-06-10,M-Pesa,Completed
67,1222,3,2024-05-15,M-Pesa,Completed
68,2215,8,2025-06-28,Card,Completed
69,1188,4,2025-12-22,Card,Completed
70,647,12,2025-06-08,Card,Completed
71,2121,9,2024-09-09,M-Pesa,Cancelled
72,233,5,2023-05-18,M-Pesa,Refunded
73,1078,2,2026-06-05,M-Pesa,Completed
74,822,6,2024-02-29,Card,Completed
75,1351,3,2025-02-27,M-Pesa,Completed
76,145,8,2025-10-06,Card,Completed
77,331,7,2022-06-21,M-Pesa,Completed
78,171,3,2025-10-10,M-Pesa,Completed
79,1435,8,2025-01-22,M-Pesa,Completed
80,933,5,2023-02-21,M-Pesa,Completed
81,804,1,2023-01-17,M-Pesa,Cancelled
82,75,7,2025-08-22,M-Pesa,Completed
83,1546,1,2025-11-15,Cash,Completed
84,565,12,2026-06-07,M-Pesa,Completed
85,1507,2,2024-06-05,Card,Completed
86,238,6,2026-05-01,Cash,Completed
87,931,2,2025-03-11,M-Pesa,Refunded
88,62,9,2022-10-15,Cash,Completed
89,1797,2,2022-08-05,Cash,Completed
90,1001,1,2022-12-01,Card,Completed
91,502,10,2024-07-02,M-Pesa,Completed
92,844,5,2023-01-07,M-Pesa,Refunded
93,903,12,2024-01-08,M-Pesa,Refunded
94,1199,5,2024-05-05,Cash,Cancelled
95,2218,5,2023-01-26,M-Pesa,Completed
96,1683,1,2025-07-24,M-Pesa,Completed
97,562,5,2022-09-05,M-Pesa,Completed
98,864,5,2022-07-04,M-Pesa,Completed
99,582,12,2024-11-26,M-Pesa,Completed
100,1859,12,2024-06-21,M-Pesa,Completed
101,1108,8,2022-02-19,Card,Cancelled
102,347,7,2026-02-18,M-Pesa,Completed
103,78,10,2022-09-15,M-Pesa,Completed
104,843,8,2025-12-17,M-Pesa,Completed
105,215,11,2022-12-11,Card,Completed
106,107,9,2022-10-10,M-Pesa,Completed
107,887,5,2025-11-23,M-Pesa,Completed
108,1778,12,2026-02-25,M-Pesa,Refunded
109,448,12,2025-03-13,M-Pesa,Completed
110,1178,12,2024-07-03,M-Pesa,Completed
111,2126,7,2022-12-15,Card,Completed
112,976,7,2022-08-28,Cash,Completed
113,1124,5,2022-03-15,M-Pesa,Completed
114,1617,9,2022-07-11,M-Pesa,Cancelled
115,1027,5,2022-10-31,M-Pesa,Completed
116,1315,2,2022-10-16,Card,Completed
117,1802,8,2022-01-04,M-Pesa,Completed
118,1967,1,2022-04-14,M-Pesa,Completed
119,326,7,2024-05-06,Card,Cancelled
120,263,9,2024-01-28,M-Pesa,Completed
121,1132,5,2023-09-15,Card,Completed
122,715,3,2022-03-16,Cash,Cancelled
123,469,11,2022-02-18,M-Pesa,Completed
124,1804,11,2025-10-12,M-Pesa,Completed
125,934,1,2024-09-06,M-Pesa,Refunded
126,67,5,2025-11-25,Card,Cancelled
127,962,12,2026-02-17,Card,Completed
128,464,2,2025-01-15,M-Pesa,Completed
129,1522,4,2025-03-19,M-Pesa,Completed
130,1160,11,2022-07-19,Cash,Completed
131,1476,6,2024-06-17,Card,Completed
132,1205,11,2025-09-04,M-Pesa,Completed
133,1192,3,2022-11-07,Cash,Cancelled
134,867,1,2023-09-22,Card,Cancelled
135,2082,12,2022-06-02,M-Pesa,Refunded
136,1552,6,2022-04-12,M-Pesa,Completed
137,1561,11,2025-04-03,M-Pesa,Completed
138,1713,4,2026-01-13,M-Pesa,Refunded
139,2162,2,2023-04-20,M-Pesa,Cancelled
140,2132,8,2023-06-09,M-Pesa,Completed
141,1201,5,2023-02-05,Cash,Completed
142,1483,4,2026-03-29,Cash,Completed
143,473,6,2024-08-25,Cash,Completed
144,1680,12,2025-05-24,Card,Completed
145,314,6,2025-07-14,Card,Refunded
146,1839,8,2023-03-30,M-Pesa,Completed
147,514,10,2025-07-08,M-Pesa,Completed
148,566,7,2025-06-11,M-Pesa,Completed
149,484,5,2024-06-22,M-Pesa,Completed
150,608,7,2022-08-15,M-Pesa,Completed
151,812,11,2023-06-01,Cash,Completed
152,1715,1,2023-11-02,Card,Cancelled
153,414,12,2026-06-01,Cash,Completed
154,684,7,2023-06-04,M-Pesa,Completed
155,1590,9,2025-01-14,M-Pesa,Completed
156,989,3,2022-06-10,Card,Completed
157,1379,6,2022-01-06,M-Pesa,Cancelled
158,186,10,2025-04-18,M-Pesa,Refunded
159,1675,6,2026-06-21,M-Pesa,Refunded
160,1955,7,2024-01-21,Cash,Refunded
161,2087,3,2025-05-18,M-Pesa,Completed
162,1516,1,2026-02-12,M-Pesa,Completed
163,2084,6,2022-01-06,M-Pesa,Completed
164,2021,2,2025-09-03,Card,Completed
165,2152,10,2023-04-03,M-Pesa,Cancelled
166,1574,7,2023-06-25,Card,Completed
167,863,3,2025-05-02,M-Pesa,Cancelled
168,1288,5,2023-09-15,M-Pesa,Completed
169,1180,5,2025-09-30,Card,Completed
170,694,8,2023-06-28,Card,Completed
171,949,10,2026-01-21,Card,Completed
172,2084,2,2022-03-17,Cash,Completed
173,2212,10,2023-12-12,M-Pesa,Completed
174,106,1,2026-01-11,Card,Completed
175,1747,5,2023-10-02,M-Pesa,Cancelled
176,1209,3,2023-03-17,M-Pesa,Refunded
177,492,12,2022-05-02,M-Pesa,Completed
178,561,8,2026-01-25,Card,Refunded
179,1449,11,2023-10-07,M-Pesa,Refunded
180,1340,4,2023-09-01,Cash,Cancelled
181,2101,6,2025-11-24,M-Pesa,Refunded
182,158,12,2025-03-09,M-Pesa,Completed
183,1301,12,2025-03-01,Cash,Cancelled
184,146,11,2026-01-03,M-Pesa,Completed
185,902,3,2026-03-27,Cash,Completed
186,767,8,2026-06-08,M-Pesa,Completed
187,364,3,2022-01-03,M-Pesa,Refunded
188,1779,12,2024-01-04,M-Pesa,Completed
189,730,9,2023-06-16,M-Pesa,Completed
190,1558,12,2023-10-17,M-Pesa,Completed
191,2173,11,2025-09-04,Cash,Completed
192,1987,4,2026-02-12,M-Pesa,Refunded
193,2226,7,2023-03-18,M-Pesa,Completed
194,1177,2,2024-10-12,M-Pesa,Completed
195,1741,6,2022-03-10,M-Pesa,Completed
196,466,8,2024-10-06,Card,Refunded
197,1982,7,2023-08-26,M-Pesa,Cancelled
198,119,7,2024-07-10,Card,Completed
199,1676,9,2022-11-16,M-Pesa,Cancelled
200,1301,6,2023-11-20,M-Pesa,Completed
201,1068,8,2022-11-28,M-Pesa,Completed
202,1392,8,2024-06-28,M-Pesa,Completed
203,683,8,2023-09-13,M-Pesa,Completed
204,1351,11,2025-04-05,Cash,Cancelled
205,87,9,2024-07-15,M-Pesa,Completed
206,1445,12,2023-10-28,M-Pesa,Completed
207,863,11,2023-09-30,Card,Cancelled
208,2195,4,2024-01-24,M-Pesa,Refunded
209,662,4,2022-01-26,Card,Completed
210,1019,7,2023-01-20,M-Pesa,Completed
211,2157,1,2023-12-13,M-Pesa,Cancelled
212,174,7,2024-06-30,Cash,Completed
213,1013,5,2026-01-13,M-Pesa,Completed
214,1548,12,2024-07-17,M-Pesa,Completed
215,348,12,2024-02-15,M-Pesa,Completed
216,1702,9,2026-06-21,M-Pesa,Completed
217,622,12,2024-12-19,M-Pesa,Refunded
218,796,10,2024-03-07,M-Pesa,Completed
219,96,6,2024-10-05,Card,Completed
220,1083,8,2023-08-21,M-Pesa,Completed
221,382,7,2023-09-01,Cash,Completed
222,1165,9,2024-08-28,M-Pesa,Cancelled
223,2036,4,2022-10-24,M-Pesa,Completed
224,1853,9,2024-01-15,Cash,Cancelled
225,951,1,2022-05-08,M-Pesa,Completed
226,1273,8,2024-01-16,Card,Completed
227,391,11,2023-09-11,M-Pesa,Completed
228,2007,4,2025-02-11,M-Pesa,Completed
229,1940,2,2023-01-24,M-Pesa,Refunded
230,242,10,2022-02-06,M-Pesa,Completed
231,1384,7,2022-05-23,Cash,Completed
232,1666,6,2023-12-10,M-Pesa,Completed
233,2002,12,2025-02-25,M-Pesa,Completed
234,966,6,2026-06-10,Card,Completed
235,334,12,2024-01-16,M-Pesa,Completed
236,522,12,2026-04-30,M-Pesa,Completed
237,681,9,2024-05-06,Cash,Completed
238,1738,2,2024-07-06,M-Pesa,Completed
239,1996,11,2025-12-03,Cash,Refunded
240,38,9,2023-09-16,Card,Completed
241,1111,7,2023-05-12,M-Pesa,Completed
242,680,10,2022-05-10,Cash,Completed
243,1521,9,2025-11-03,M-Pesa,Cancelled
244,863,5,2025-06-02,Card,Refunded
245,555,12,2026-05-28,Cash,Cancelled
246,41,12,2024-07-27,Card,Completed
247,275,3,2026-03-14,M-Pesa,Completed
248,385,12,2026-03-24,M-Pesa,Completed
249,1920,6,2025-07-10,M-Pesa,Completed
250,926,2,2023-08-16,Card,Refunded
251,1125,1,2024-04-17,Card,Completed
252,1505,10,2026-05-14,M-Pesa,Completed
253,830,5,2022-07-13,M-Pesa,Cancelled
254,887,3,2024-03-09,Card,Completed
255,519,5,2023-04-23,M-Pesa,Cancelled
256,1353,11,2022-05-29,M-Pesa,Cancelled
257,1940,10,2025-05-12,Cash,Completed
258,887,1,2024-03-12,M-Pesa,Cancelled
259,1948,3,2023-09-24,M-Pesa,Completed
260,214,2,2022-10-31,Cash,Cancelled
261,1933,8,2022-05-03,Card,Completed
262,987,9,2024-06-08,M-Pesa,Completed
263,1944,7,2025-08-01,Card,Completed
264,321,9,2024-11-24,M-Pesa,Completed
265,1138,3,2022-08-26,Cash,Completed
266,1027,9,2022-05-31,M-Pesa,Cancelled
267,730,7,2025-03-15,M-Pesa,Completed
268,1418,8,2023-10-24,M-Pesa,Completed
269,783,10,2022-08-15,M-Pesa,Completed
270,44,3,2023-03-13,Cash,Completed
271,23,6,2022-09-25,M-Pesa,Completed
272,1511,6,2024-09-16,Card,Cancelled
273,138,1,2024-02-23,Card,Refunded
274,1037,8,2024-04-20,Card,Refunded
275,125,1,2022-05-03,M-Pesa,Cancelled
276,712,11,2022-03-29,M-Pesa,Refunded
277,426,11,2025-03-06,M-Pesa,Completed
278,628,1,2026-06-22,Cash,Completed
279,490,2,2025-12-21,M-Pesa,Completed
280,1288,11,2025-03-29,M-Pesa,Cancelled
281,796,5,2023-08-25,M-Pesa,Refunded
282,1297,1,2026-02-12,Cash,Cancelled
283,2115,12,2022-06-22,M-Pesa,Refunded
284,252,7,2024-06-27,M-Pesa,Completed
285,1093,9,2025-01-22,M-Pesa,Completed
286,814,8,2023-09-04,M-Pesa,Completed
287,14,3,2025-09-29,Card,Completed
288,1399,9,2022-03-16,M-Pesa,Cancelled
289,1897,12,2023-12-16,M-Pesa,Completed
290,354,2,2024-04-10,Cash,Completed
291,83,10,2022-01-05,Cash,Completed
292,1886,4,2024-08-06,M-Pesa,Refunded
293,783,4,2022-07-27,Cash,Completed
294,1176,1,2025-11-28,Cash,Completed
295,1696,3,2024-03-26,Cash,Completed
296,726,5,2022-01-01,Card,Completed
297,379,12,2024-07-31,M-Pesa,Completed
298,2143,10,2026-03-20,M-Pesa,Refunded
299,151,11,2022-03-23,M-Pesa,Completed
300,863,3,2024-11-03,M-Pesa,Completed
301,1183,11,2022-12-27,Cash,Completed
302,1102,12,2025-03-01,M-Pesa,Cancelled
303,1916,4,2023-07-16,Card,Completed
304,764,2,2023-03-28,M-Pesa,Completed
305,1525,8,2022-03-28,M-Pesa,Completed
306,139,11,2022-10-09,Card,Refunded
307,33,2,2025-09-19,Cash,Completed
308,411,8,2023-04-02,Cash,Completed
309,2240,5,2025-11-19,Cash,Completed
310,1870,8,2026-06-16,M-Pesa,Cancelled
311,1636,12,2024-04-05,M-Pesa,Completed
312,1384,5,2026-02-17,M-Pesa,Refunded
313,960,7,2024-09-29,M-Pesa,Completed
314,1104,7,2025-12-27,M-Pesa,Completed
315,2098,10,2025-12-24,Cash,Completed
316,2147,10,2023-04-05,Cash,Cancelled
317,1365,3,2022-04-06,M-Pesa,Completed
318,580,5,2024-03-07,Card,Completed
319,4,7,2024-12-05,Cash,Completed
320,330,3,2026-02-06,Cash,Completed
321,1003,4,2024-04-27,Cash,Refunded
322,1533,9,2022-09-22,M-Pesa,Completed
323,1929,3,2023-03-06,M-Pesa,Refunded
324,1935,7,2024-01-13,M-Pesa,Completed
325,393,12,2022-05-28,M-Pesa,Completed
326,547,6,2026-06-19,M-Pesa,Completed
327,1740,5,2022-04-29,M-Pesa,Completed
328,2001,9,2026-03-26,M-Pesa,Completed
329,730,4,2024-06-08,Cash,Completed
330,7,6,2026-03-09,M-Pesa,Cancelled
331,943,7,2025-06-21,Cash,Completed
332,1237,4,2022-01-11,M-Pesa,Completed
333,737,6,2022-04-19,M-Pesa,Completed
334,1969,5,2025-07-14,M-Pesa,Completed
335,1632,7,2026-03-28,M-Pesa,Completed
336,1419,8,2024-11-18,M-Pesa,Refunded
337,51,7,2025-05-20,Cash,Completed
338,1573,3,2022-04-07,M-Pesa,Completed
339,1646,8,2022-07-10,M-Pesa,Completed
340,475,5,2023-09-03,M-Pesa,Completed
341,1940,9,2022-01-02,Card,Cancelled
342,733,6,2022-10-20,M-Pesa,Cancelled
343,328,7,2024-02-01,Cash,Completed
344,1057,6,2025-08-17,Cash,Cancelled
345,1864,10,2026-05-29,M-Pesa,Completed
346,498,8,2024-12-14,M-Pesa,Completed
347,1513,6,2023-06-01,Card,Completed
348,97,6,2023-12-03,M-Pesa,Completed
349,1709,3,2025-05-11,M-Pesa,Completed
350,146,6,2022-03-13,M-Pesa,Completed
351,2177,6,2023-08-19,M-Pesa,Completed
352,388,3,2026-04-04,Cash,Refunded
353,1766,3,2025-11-15,Card,Completed
354,1000,8,2023-12-25,M-Pesa,Cancelled
355,1338,8,2025-09-08,Card,Completed
356,415,3,2022-08-12,M-Pesa,Cancelled
357,1237,12,2022-03-13,M-Pesa,Completed
358,1053,1,2024-01-29,M-Pesa,Completed
359,1069,2,2025-08-21,Card,Cancelled
360,999,9,2024-09-01,M-Pesa,Completed
361,1790,10,2025-01-21,Card,Refunded
362,1134,12,2022-01-08,M-Pesa,Refunded
363,743,1,2024-03-05,Card,Completed
364,77,1,2026-01-26,M-Pesa,Refunded
365,1895,3,2025-09-23,M-Pesa,Refunded
366,921,6,2024-12-08,M-Pesa,Refunded
367,1179,6,2025-12-10,M-Pesa,Completed
368,1347,10,2024-07-30,M-Pesa,Completed
369,52,8,2023-05-28,Card,Completed
370,1821,6,2025-03-13,Cash,Completed
371,2181,12,2025-02-21,Cash,Refunded
372,133,7,2023-01-08,M-Pesa,Completed
373,1415,11,2024-11-25,M-Pesa,Completed
374,1513,12,2025-08-01,Card,Completed
375,1915,6,2024-05-06,M-Pesa,Completed
376,1441,10,2023-11-10,M-Pesa,Completed
377,96,7,2024-06-30,Card,Cancelled
378,962,12,2022-12-17,M-Pesa,Cancelled
379,506,3,2025-11-08,M-Pesa,Completed
380,454,4,2023-07-20,M-Pesa,Completed
381,1643,3,2024-09-03,M-Pesa,Completed
382,1713,6,2023-04-03,M-Pesa,Completed
383,433,6,2024-02-14,Card,Cancelled
384,923,9,2022-07-09,M-Pesa,Completed
385,1841,8,2025-10-04,Cash,Completed
386,2182,7,2022-05-25,Card,Completed
387,403,11,2024-10-21,M-Pesa,Cancelled
388,1714,11,2025-03-29,M-Pesa,Completed
389,919,11,2026-02-28,Cash,Cancelled
390,330,10,2026-05-23,M-Pesa,Cancelled
391,94,12,2022-11-28,Card,Cancelled
392,1933,4,2023-05-26,M-Pesa,Completed
393,1595,1,2024-06-02,M-Pesa,Cancelled
394,662,4,2022-12-16,M-Pesa,Completed
395,718,12,2025-06-18,M-Pesa,Refunded
396,1201,4,2025-06-23,M-Pesa,Completed
397,1881,4,2022-02-28,Cash,Refunded
398,991,10,2023-06-30,Cash,Completed
399,1357,9,2022-09-10,Cash,Completed
400,287,8,2025-06-25,M-Pesa,Refunded
401,1665,1,2024-12-25,M-Pesa,Completed
402,1709,7,2023-10-24,Card,Refunded
403,2188,9,2025-01-28,M-Pesa,Completed
404,245,8,2022-04-23,Card,Completed
405,1489,12,2026-01-04,M-Pesa,Refunded
406,1803,9,2022-12-17,M-Pesa,Completed
407,1076,2,2025-12-17,M-Pesa,Completed
408,1692,12,2025-07-21,Card,Completed
409,861,4,2023-08-14,Card,Completed
410,304,6,2023-02-25,M-Pesa,Refunded
411,1065,8,2025-06-07,Card,Completed
412,1845,12,2025-09-13,Card,Cancelled
413,574,5,2023-07-08,Cash,Cancelled
414,1520,5,2026-02-16,M-Pesa,Completed
415,649,12,2023-11-22,M-Pesa,Refunded
416,1802,5,2022-04-10,Card,Completed
417,527,12,2025-11-15,Cash,Cancelled
418,1054,5,2026-05-26,Cash,Completed
419,608,4,2023-12-16,M-Pesa,Completed
420,2084,5,2025-05-08,M-Pesa,Completed
421,698,8,2024-01-05,Card,Refunded
422,2053,3,2024-08-23,Card,Cancelled
423,1988,6,2022-12-26,Cash,Cancelled
424,1556,8,2025-03-23,M-Pesa,Refunded
425,1267,2,2023-02-17,Cash,Completed
426,490,3,2023-05-07,Cash,Completed
427,50,8,2024-06-08,M-Pesa,Completed
428,135,12,2022-11-17,M-Pesa,Refunded
429,2079,2,2023-05-14,M-Pesa,Completed
430,2203,9,2022-10-18,M-Pesa,Completed
431,1016,8,2025-08-06,Cash,Completed
432,1004,12,2023-09-20,Cash,Refunded
433,165,12,2026-05-30,M-Pesa,Completed
434,779,9,2026-01-29,M-Pesa,Completed
435,851,9,2026-05-10,Cash,Completed
436,1955,10,2023-05-04,M-Pesa,Completed
437,210,9,2026-02-10,Card,Refunded
438,477,2,2024-06-05,M-Pesa,Completed
439,2222,8,2023-06-27,M-Pesa,Completed
440,40,10,2022-03-29,M-Pesa,Completed
441,1814,2,2025-09-01,Cash,Cancelled
442,1869,11,2026-03-02,M-Pesa,Completed
443,2018,7,2025-03-02,Cash,Completed
444,1163,9,2023-10-08,Card,Completed
445,1128,9,2024-01-07,M-Pesa,Cancelled
446,457,5,2023-07-05,Cash,Completed
447,2088,1,2022-05-12,M-Pesa,Completed
448,1770,3,2026-04-26,Card,Completed
449,2207,8,2022-09-19,Cash,Completed
450,874,2,2024-07-15,Card,Cancelled
451,2173,5,2025-04-11,M-Pesa,Completed
452,862,11,2022-01-16,M-Pesa,Refunded
453,787,3,2022-02-25,M-Pesa,Completed
454,644,3,2026-03-18,Card,Cancelled
455,1708,8,2026-01-20,Card,Completed
456,1244,5,2023-06-17,Card,Completed
457,1450,5,2022-03-11,Card,Completed
458,1612,5,2024-10-29,M-Pesa,Completed
459,1675,7,2023-05-23,Card,Refunded
460,1124,3,2022-02-15,M-Pesa,Refunded
461,1049,4,2026-06-13,Card,Completed
462,1567,1,2022-06-16,Card,Cancelled
463,881,9,2023-01-19,M-Pesa,Cancelled
464,438,8,2026-04-10,M-Pesa,Completed
465,1965,3,2026-06-24,M-Pesa,Completed
466,1598,1,2024-01-30,M-Pesa,Completed
467,1537,5,2024-04-12,M-Pesa,Completed
468,1131,1,2023-09-29,M-Pesa,Completed
469,455,8,2024-09-13,M-Pesa,Completed
470,1695,12,2025-01-31,Cash,Completed
471,820,10,2022-08-22,M-Pesa,Completed
472,2239,8,2025-08-14,Card,Cancelled
473,90,9,2025-03-01,Cash,Completed
474,1286,12,2024-01-01,Card,Completed
475,755,12,2023-10-01,Card,Completed
476,1365,4,2025-01-31,Cash,Refunded
477,95,12,2022-10-18,Cash,Completed
478,1624,11,2024-11-06,M-Pesa,Completed
479,2099,9,2023-10-29,Card,Completed
480,132,10,2024-10-16,M-Pesa,Completed
481,1368,9,2026-02-17,M-Pesa,Refunded
482,461,2,2023-06-02,M-Pesa,Completed
483,360,9,2026-02-18,M-Pesa,Completed
484,782,10,2023-03-16,M-Pesa,Refunded
485,1908,7,2026-03-24,M-Pesa,Refunded
486,300,3,2025-01-25,Cash,Refunded
487,2162,10,2026-06-27,M-Pesa,Completed
488,27,7,2026-01-05,M-Pesa,Completed
489,1750,1,2019-08-14,Cash,Completed
490,1338,4,2022-10-27,M-Pesa,Completed
491,1453,11,2026-01-18,M-Pesa,Completed
492,845,4,2025-07-12,Card,Completed
493,162,2,2026-01-17,Cash,Cancelled
494,1342,6,2023-08-10,Card,Completed
495,1241,11,2026-04-28,Cash,Completed
496,890,5,2022-01-18,Card,Completed
497,1801,3,2025-11-12,M-Pesa,Completed
498,855,1,2025-05-31,M-Pesa,Completed
499,814,8,2025-02-22,Cash,Completed
500,381,10,2022-03-25,Cash,Cancelled
501,499,10,2023-06-09,Cash,Completed
502,1468,2,2023-07-08,Card,Completed
503,372,4,2025-11-16,M-Pesa,Completed
504,459,8,2026-03-07,M-Pesa,Completed
505,1721,1,2026-01-27,M-Pesa,Completed
506,1270,6,2023-07-24,M-Pesa,Completed
507,346,11,2025-08-02,M-Pesa,Completed
508,1126,1,2025-01-31,Card,Completed
509,727,3,2024-08-23,M-Pesa,Completed
510,575,3,2023-12-24,M-Pesa,Completed
511,860,1,2026-01-01,Card,Completed
512,646,10,2023-07-12,M-Pesa,Completed
513,621,3,2023-12-20,Cash,Completed
514,123,2,2022-03-13,M-Pesa,Completed
515,1529,5,2025-10-01,Card,Cancelled
516,106,6,2022-06-13,Card,Completed
517,592,8,2023-12-28,M-Pesa,Completed
518,2152,9,2022-11-10,Cash,Completed
519,913,2,2022-07-31,M-Pesa,Completed
520,1949,2,2024-09-03,M-Pesa,Completed
521,3,9,2022-03-23,Card,Completed
522,1053,8,2023-08-04,Cash,Completed
523,395,11,2025-05-04,M-Pesa,Completed
524,804,12,2025-01-11,Cash,Completed
525,585,9,2024-11-22,Cash,Refunded
526,1655,2,2026-02-07,Card,Cancelled
527,1027,2,2024-12-29,Cash,Refunded
528,1893,11,2025-09-22,M-Pesa,Cancelled
529,1093,9,2022-03-21,Cash,Completed
530,595,7,2026-06-01,M-Pesa,Refunded
531,1578,1,2023-04-18,M-Pesa,Completed
532,140,3,2025-01-16,Cash,Completed
533,1970,7,2022-12-21,M-Pesa,Completed
534,1662,4,2023-05-14,M-Pesa,Completed
535,2236,8,2025-03-29,M-Pesa,Completed
536,2108,12,2022-11-30,Card,Completed
537,1997,3,2026-01-12,M-Pesa,Completed
538,1403,11,2022-07-14,M-Pesa,Completed
539,1748,2,2023-04-01,M-Pesa,Cancelled
540,1874,3,2022-07-26,M-Pesa,Completed
541,518,9,2022-02-21,Card,Completed
542,340,8,2022-12-19,M-Pesa,Completed
543,2093,7,2022-03-16,Cash,Completed
544,69,11,2024-09-30,Cash,Refunded
545,622,12,2026-05-15,M-Pesa,Cancelled
546,2184,9,2023-04-12,Card,Cancelled
547,2175,4,2022-04-29,Cash,Completed
548,679,3,2023-05-08,M-Pesa,Completed
549,1737,12,2024-10-03,Cash,Completed
550,1642,1,2022-06-03,Card,Completed
551,1952,9,2022-12-30,M-Pesa,Completed
552,1229,3,2024-12-09,M-Pesa,Completed
553,1277,5,2025-12-15,Cash,Refunded
554,274,10,2024-10-08,M-Pesa,Completed
555,657,3,2022-10-13,Cash,Completed
556,1602,3,2024-06-14,M-Pesa,Completed
557,289,4,2023-07-22,Cash,Completed
558,506,3,2025-05-15,M-Pesa,Refunded
559,584,3,2026-02-01,Card,Completed
560,2133,1,2025-01-30,Card,Cancelled
561,1930,2,2023-07-13,Cash,Refunded
562,512,8,2022-03-17,M-Pesa,Refunded
563,289,10,2023-09-29,Card,Completed
564,1047,1,2022-02-24,M-Pesa,Refunded
565,690,8,2023-10-31,M-Pesa,Completed
566,363,4,2024-03-09,M-Pesa,Cancelled
567,2026,6,2026-03-24,M-Pesa,Completed
568,1148,1,2022-01-22,Card,Completed
569,1719,11,2022-02-01,Card,Completed
570,1989,2,2024-07-26,Cash,Cancelled
571,1777,8,2026-03-28,Card,Completed
572,1540,12,2026-01-31,M-Pesa,Cancelled
573,442,11,2024-06-17,M-Pesa,Refunded
574,482,2,2022-05-01,Cash,Completed
575,1728,10,2023-09-27,M-Pesa,Refunded
576,1804,12,2023-12-22,M-Pesa,Cancelled
577,1634,9,2023-03-08,M-Pesa,Refunded
578,741,1,2025-07-01,M-Pesa,Refunded
579,1689,6,2026-01-09,M-Pesa,Refunded
580,1039,8,2026-06-23,Card,Refunded
581,1019,6,2024-04-02,Card,Completed
582,1078,1,2025-02-13,Cash,Completed
583,1319,9,2022-07-25,M-Pesa,Completed
584,365,3,2025-12-31,Card,Completed
585,933,10,2022-12-24,Card,Completed
586,371,2,2022-11-15,M-Pesa,Completed
587,763,10,2025-10-24,M-Pesa,Completed
588,1989,5,2023-05-19,Card,Completed
589,653,8,2025-02-20,Cash,Completed
590,1272,1,2026-06-07,M-Pesa,Refunded
591,2205,11,2025-11-15,Cash,Completed
592,814,10,2022-02-03,M-Pesa,Completed
